gene,score
ORTHOMCL10324,FALSE
ORTHOMCL10325,FALSE
ORTHOMCL10326,FALSE
ORTHOMCL10327,FALSE
ORTHOMCL10328,FALSE
ORTHOMCL10329,FALSE
ORTHOMCL10330,FALSE
ORTHOMCL10333,FALSE
ORTHOMCL10334,TRUE
ORTHOMCL10335,FALSE
ORTHOMCL10336,FALSE
ORTHOMCL10337,FALSE
ORTHOMCL10344,FALSE
ORTHOMCL10345,FALSE
ORTHOMCL10346,FALSE
ORTHOMCL10348,FALSE
ORTHOMCL10349,FALSE
ORTHOMCL10350,FALSE
ORTHOMCL10354,FALSE
ORTHOMCL10355,FALSE
ORTHOMCL10356,FALSE
ORTHOMCL10357,TRUE
ORTHOMCL10358,FALSE
ORTHOMCL10359,FALSE
ORTHOMCL10360,FALSE
ORTHOMCL10361,FALSE
ORTHOMCL10362,FALSE
ORTHOMCL10364,TRUE
ORTHOMCL10365,FALSE
ORTHOMCL10367,FALSE
ORTHOMCL10368,FALSE
ORTHOMCL10370,FALSE
ORTHOMCL10371,FALSE
ORTHOMCL10372,FALSE
ORTHOMCL10373,FALSE
ORTHOMCL10374,FALSE
ORTHOMCL10376,FALSE
ORTHOMCL10377,FALSE
ORTHOMCL10379,FALSE
ORTHOMCL10381,FALSE
ORTHOMCL10382,FALSE
ORTHOMCL10383,FALSE
ORTHOMCL10384,FALSE
ORTHOMCL10385,FALSE
ORTHOMCL10389,FALSE
ORTHOMCL10390,FALSE
ORTHOMCL10392,FALSE
ORTHOMCL10393,FALSE
ORTHOMCL10394,FALSE
ORTHOMCL10395,FALSE
ORTHOMCL10398,FALSE
ORTHOMCL10399,FALSE
ORTHOMCL10401,FALSE
ORTHOMCL10404,FALSE
ORTHOMCL10405,FALSE
ORTHOMCL10408,FALSE
ORTHOMCL10410,FALSE
ORTHOMCL10412,FALSE
ORTHOMCL10415,FALSE
ORTHOMCL10417,FALSE
ORTHOMCL10419,FALSE
ORTHOMCL10420,FALSE
ORTHOMCL10423,FALSE
ORTHOMCL10424,FALSE
ORTHOMCL10425,FALSE
ORTHOMCL10427,FALSE
ORTHOMCL10428,FALSE
ORTHOMCL10429,FALSE
ORTHOMCL10434,FALSE
ORTHOMCL10437,FALSE
ORTHOMCL10438,FALSE
ORTHOMCL1044,FALSE
ORTHOMCL10440,FALSE
ORTHOMCL10441,FALSE
ORTHOMCL10443,FALSE
ORTHOMCL10444,TRUE
ORTHOMCL10447,FALSE
ORTHOMCL10453,FALSE
ORTHOMCL10454,FALSE
ORTHOMCL10456,FALSE
ORTHOMCL10457,FALSE
ORTHOMCL10458,FALSE
ORTHOMCL10460,FALSE
ORTHOMCL10462,FALSE
ORTHOMCL10463,FALSE
ORTHOMCL10466,FALSE
ORTHOMCL10468,FALSE
ORTHOMCL10469,FALSE
ORTHOMCL10472,TRUE
ORTHOMCL10473,FALSE
ORTHOMCL10475,FALSE
ORTHOMCL10478,FALSE
ORTHOMCL10479,FALSE
ORTHOMCL10481,FALSE
ORTHOMCL10482,TRUE
ORTHOMCL10483,FALSE
ORTHOMCL10484,FALSE
ORTHOMCL10485,FALSE
ORTHOMCL10486,FALSE
ORTHOMCL10487,FALSE
ORTHOMCL10488,FALSE
ORTHOMCL10489,FALSE
ORTHOMCL10492,FALSE
ORTHOMCL10493,FALSE
ORTHOMCL10494,FALSE
ORTHOMCL10496,FALSE
ORTHOMCL10497,FALSE
ORTHOMCL10499,FALSE
ORTHOMCL1050,FALSE
ORTHOMCL10500,FALSE
ORTHOMCL10501,FALSE
ORTHOMCL10502,FALSE
ORTHOMCL10504,FALSE
ORTHOMCL10506,FALSE
ORTHOMCL10507,FALSE
ORTHOMCL10510,FALSE
ORTHOMCL10512,FALSE
ORTHOMCL10513,FALSE
ORTHOMCL10514,FALSE
ORTHOMCL10516,FALSE
ORTHOMCL10517,FALSE
ORTHOMCL10518,FALSE
ORTHOMCL10519,FALSE
ORTHOMCL10520,FALSE
ORTHOMCL10523,FALSE
ORTHOMCL10525,FALSE
ORTHOMCL10526,FALSE
ORTHOMCL10529,FALSE
ORTHOMCL10530,FALSE
ORTHOMCL10531,FALSE
ORTHOMCL10532,FALSE
ORTHOMCL10533,FALSE
ORTHOMCL10534,FALSE
ORTHOMCL10536,FALSE
ORTHOMCL10537,FALSE
ORTHOMCL1054,FALSE
ORTHOMCL10540,FALSE
ORTHOMCL10541,FALSE
ORTHOMCL10542,FALSE
ORTHOMCL10543,FALSE
ORTHOMCL10545,FALSE
ORTHOMCL10546,FALSE
ORTHOMCL10547,FALSE
ORTHOMCL10549,FALSE
ORTHOMCL1055,FALSE
ORTHOMCL10551,FALSE
ORTHOMCL10552,FALSE
ORTHOMCL10553,FALSE
ORTHOMCL10554,FALSE
ORTHOMCL10555,FALSE
ORTHOMCL10557,FALSE
ORTHOMCL10558,FALSE
ORTHOMCL10559,FALSE
ORTHOMCL10560,FALSE
ORTHOMCL10561,FALSE
ORTHOMCL10564,FALSE
ORTHOMCL10565,FALSE
ORTHOMCL10566,FALSE
ORTHOMCL10567,FALSE
ORTHOMCL10569,FALSE
ORTHOMCL10571,TRUE
ORTHOMCL10572,TRUE
ORTHOMCL10573,FALSE
ORTHOMCL10575,FALSE
ORTHOMCL10576,FALSE
ORTHOMCL10578,FALSE
ORTHOMCL10579,FALSE
ORTHOMCL10582,FALSE
ORTHOMCL10584,FALSE
ORTHOMCL10585,FALSE
ORTHOMCL10586,FALSE
ORTHOMCL1059,FALSE
ORTHOMCL10593,TRUE
ORTHOMCL10595,FALSE
ORTHOMCL10596,FALSE
ORTHOMCL10597,FALSE
ORTHOMCL10599,FALSE
ORTHOMCL1060,FALSE
ORTHOMCL10600,FALSE
ORTHOMCL10602,FALSE
ORTHOMCL10606,FALSE
ORTHOMCL10607,FALSE
ORTHOMCL10608,FALSE
ORTHOMCL1061,FALSE
ORTHOMCL10611,FALSE
ORTHOMCL10612,FALSE
ORTHOMCL10613,FALSE
ORTHOMCL10617,FALSE
ORTHOMCL10618,FALSE
ORTHOMCL10619,FALSE
ORTHOMCL10620,FALSE
ORTHOMCL10622,FALSE
ORTHOMCL10625,FALSE
ORTHOMCL10627,FALSE
ORTHOMCL10628,FALSE
ORTHOMCL10629,FALSE
ORTHOMCL1063,FALSE
ORTHOMCL10630,FALSE
ORTHOMCL10631,FALSE
ORTHOMCL10632,FALSE
ORTHOMCL10634,FALSE
ORTHOMCL10635,FALSE
ORTHOMCL10637,FALSE
ORTHOMCL10639,FALSE
ORTHOMCL10640,FALSE
ORTHOMCL10641,FALSE
ORTHOMCL10642,FALSE
ORTHOMCL10644,FALSE
ORTHOMCL10647,FALSE
ORTHOMCL10648,FALSE
ORTHOMCL10650,FALSE
ORTHOMCL10652,FALSE
ORTHOMCL10653,FALSE
ORTHOMCL10654,FALSE
ORTHOMCL10655,FALSE
ORTHOMCL10658,FALSE
ORTHOMCL10659,FALSE
ORTHOMCL10660,FALSE
ORTHOMCL10663,FALSE
ORTHOMCL10664,FALSE
ORTHOMCL10666,FALSE
ORTHOMCL10668,FALSE
ORTHOMCL10670,FALSE
ORTHOMCL10671,FALSE
ORTHOMCL10673,FALSE
ORTHOMCL10677,FALSE
ORTHOMCL10678,FALSE
ORTHOMCL10679,FALSE
ORTHOMCL10680,FALSE
ORTHOMCL10682,FALSE
ORTHOMCL10685,FALSE
ORTHOMCL10686,FALSE
ORTHOMCL10689,FALSE
ORTHOMCL10691,FALSE
ORTHOMCL10692,FALSE
ORTHOMCL10695,FALSE
ORTHOMCL10696,TRUE
ORTHOMCL10697,FALSE
ORTHOMCL10698,FALSE
ORTHOMCL10701,FALSE
ORTHOMCL10704,FALSE
ORTHOMCL10706,FALSE
ORTHOMCL10707,FALSE
ORTHOMCL10708,FALSE
ORTHOMCL10711,FALSE
ORTHOMCL10712,FALSE
ORTHOMCL10714,FALSE
ORTHOMCL10715,FALSE
ORTHOMCL10716,FALSE
ORTHOMCL10718,FALSE
ORTHOMCL10719,FALSE
ORTHOMCL10721,FALSE
ORTHOMCL10722,TRUE
ORTHOMCL10724,FALSE
ORTHOMCL10725,FALSE
ORTHOMCL10726,FALSE
ORTHOMCL10727,FALSE
ORTHOMCL10728,FALSE
ORTHOMCL10729,FALSE
ORTHOMCL10730,FALSE
ORTHOMCL10731,FALSE
ORTHOMCL10732,FALSE
ORTHOMCL10733,FALSE
ORTHOMCL10735,FALSE
ORTHOMCL10736,TRUE
ORTHOMCL10737,FALSE
ORTHOMCL10739,FALSE
ORTHOMCL10740,FALSE
ORTHOMCL10741,FALSE
ORTHOMCL10742,FALSE
ORTHOMCL10743,FALSE
ORTHOMCL10745,FALSE
ORTHOMCL10746,FALSE
ORTHOMCL10747,FALSE
ORTHOMCL10748,FALSE
ORTHOMCL1075,FALSE
ORTHOMCL10751,FALSE
ORTHOMCL10753,FALSE
ORTHOMCL10754,FALSE
ORTHOMCL10755,FALSE
ORTHOMCL10756,FALSE
ORTHOMCL10757,FALSE
ORTHOMCL10758,FALSE
ORTHOMCL10760,FALSE
ORTHOMCL10762,FALSE
ORTHOMCL10764,FALSE
ORTHOMCL10765,FALSE
ORTHOMCL10766,FALSE
ORTHOMCL10768,FALSE
ORTHOMCL10769,FALSE
ORTHOMCL1077,FALSE
ORTHOMCL10770,FALSE
ORTHOMCL10771,FALSE
ORTHOMCL10773,FALSE
ORTHOMCL10776,FALSE
ORTHOMCL10777,FALSE
ORTHOMCL10780,FALSE
ORTHOMCL10782,FALSE
ORTHOMCL10783,FALSE
ORTHOMCL10785,FALSE
ORTHOMCL10786,FALSE
ORTHOMCL10787,FALSE
ORTHOMCL10788,FALSE
ORTHOMCL10790,FALSE
ORTHOMCL10791,FALSE
ORTHOMCL10793,FALSE
ORTHOMCL10794,FALSE
ORTHOMCL10795,FALSE
ORTHOMCL10796,FALSE
ORTHOMCL10797,TRUE
ORTHOMCL10798,FALSE
ORTHOMCL10800,FALSE
ORTHOMCL10803,FALSE
ORTHOMCL10804,FALSE
ORTHOMCL10808,FALSE
ORTHOMCL10809,FALSE
ORTHOMCL10811,FALSE
ORTHOMCL10812,FALSE
ORTHOMCL10813,FALSE
ORTHOMCL10814,FALSE
ORTHOMCL10815,FALSE
ORTHOMCL10817,FALSE
ORTHOMCL10818,FALSE
ORTHOMCL10819,FALSE
ORTHOMCL10820,FALSE
ORTHOMCL10821,FALSE
ORTHOMCL10822,FALSE
ORTHOMCL10823,FALSE
ORTHOMCL10825,FALSE
ORTHOMCL10828,FALSE
ORTHOMCL10829,FALSE
ORTHOMCL10831,FALSE
ORTHOMCL10833,FALSE
ORTHOMCL10834,FALSE
ORTHOMCL10835,FALSE
ORTHOMCL10836,FALSE
ORTHOMCL10838,TRUE
ORTHOMCL10839,NA
ORTHOMCL10841,FALSE
ORTHOMCL10843,FALSE
ORTHOMCL10844,FALSE
ORTHOMCL10846,FALSE
ORTHOMCL10848,FALSE
ORTHOMCL1085,FALSE
ORTHOMCL10850,FALSE
ORTHOMCL10851,FALSE
ORTHOMCL10853,FALSE
ORTHOMCL10854,FALSE
ORTHOMCL10855,FALSE
ORTHOMCL10856,FALSE
ORTHOMCL10857,FALSE
ORTHOMCL10858,FALSE
ORTHOMCL10859,FALSE
ORTHOMCL10860,FALSE
ORTHOMCL10862,FALSE
ORTHOMCL10864,FALSE
ORTHOMCL10866,FALSE
ORTHOMCL10867,FALSE
ORTHOMCL10868,FALSE
ORTHOMCL10869,FALSE
ORTHOMCL10870,FALSE
ORTHOMCL10871,FALSE
ORTHOMCL10873,FALSE
ORTHOMCL10876,FALSE
ORTHOMCL10878,FALSE
ORTHOMCL10879,FALSE
ORTHOMCL10880,FALSE
ORTHOMCL10883,FALSE
ORTHOMCL10885,FALSE
ORTHOMCL10889,FALSE
ORTHOMCL10890,FALSE
ORTHOMCL10892,FALSE
ORTHOMCL10894,FALSE
ORTHOMCL10895,FALSE
ORTHOMCL10896,FALSE
ORTHOMCL10898,FALSE
ORTHOMCL10899,FALSE
ORTHOMCL1090,FALSE
ORTHOMCL10900,FALSE
ORTHOMCL10901,FALSE
ORTHOMCL10902,FALSE
ORTHOMCL10903,FALSE
ORTHOMCL10904,FALSE
ORTHOMCL10905,FALSE
ORTHOMCL10906,FALSE
ORTHOMCL10907,FALSE
ORTHOMCL10908,FALSE
ORTHOMCL10910,FALSE
ORTHOMCL10911,FALSE
ORTHOMCL10912,TRUE
ORTHOMCL10913,FALSE
ORTHOMCL10914,FALSE
ORTHOMCL10915,FALSE
ORTHOMCL10916,FALSE
ORTHOMCL10918,FALSE
ORTHOMCL10919,FALSE
ORTHOMCL10920,FALSE
ORTHOMCL10921,FALSE
ORTHOMCL10922,FALSE
ORTHOMCL10923,FALSE
ORTHOMCL10924,FALSE
ORTHOMCL10925,FALSE
ORTHOMCL10927,FALSE
ORTHOMCL10929,FALSE
ORTHOMCL10930,FALSE
ORTHOMCL10931,FALSE
ORTHOMCL10932,FALSE
ORTHOMCL10933,FALSE
ORTHOMCL10934,FALSE
ORTHOMCL10936,FALSE
ORTHOMCL10937,FALSE
ORTHOMCL10938,FALSE
ORTHOMCL10940,FALSE
ORTHOMCL10941,FALSE
ORTHOMCL10942,FALSE
ORTHOMCL10944,FALSE
ORTHOMCL10945,FALSE
ORTHOMCL10946,FALSE
ORTHOMCL10947,FALSE
ORTHOMCL10948,FALSE
ORTHOMCL10949,FALSE
ORTHOMCL1095,FALSE
ORTHOMCL10952,FALSE
ORTHOMCL10955,FALSE
ORTHOMCL10957,FALSE
ORTHOMCL10958,FALSE
ORTHOMCL10960,FALSE
ORTHOMCL10961,FALSE
ORTHOMCL10963,FALSE
ORTHOMCL10964,FALSE
ORTHOMCL10965,FALSE
ORTHOMCL10966,FALSE
ORTHOMCL10967,FALSE
ORTHOMCL10968,FALSE
ORTHOMCL10969,FALSE
ORTHOMCL10970,FALSE
ORTHOMCL10971,FALSE
ORTHOMCL10972,FALSE
ORTHOMCL10973,FALSE
ORTHOMCL10975,FALSE
ORTHOMCL10976,FALSE
ORTHOMCL10977,FALSE
ORTHOMCL10978,FALSE
ORTHOMCL10979,FALSE
ORTHOMCL10980,FALSE
ORTHOMCL10982,FALSE
ORTHOMCL10988,FALSE
ORTHOMCL10990,FALSE
ORTHOMCL10993,FALSE
ORTHOMCL10997,FALSE
ORTHOMCL10999,TRUE
ORTHOMCL11008,FALSE
ORTHOMCL11015,FALSE
ORTHOMCL11018,FALSE
ORTHOMCL1102,FALSE
ORTHOMCL11030,FALSE
ORTHOMCL11032,FALSE
ORTHOMCL11037,FALSE
ORTHOMCL11039,FALSE
ORTHOMCL11041,FALSE
ORTHOMCL11054,FALSE
ORTHOMCL11055,FALSE
ORTHOMCL11057,FALSE
ORTHOMCL11061,FALSE
ORTHOMCL11063,FALSE
ORTHOMCL11066,FALSE
ORTHOMCL11067,FALSE
ORTHOMCL11068,FALSE
ORTHOMCL11070,FALSE
ORTHOMCL11071,FALSE
ORTHOMCL11072,FALSE
ORTHOMCL11074,FALSE
ORTHOMCL11080,FALSE
ORTHOMCL11081,FALSE
ORTHOMCL11084,FALSE
ORTHOMCL11085,FALSE
ORTHOMCL11088,FALSE
ORTHOMCL11092,FALSE
ORTHOMCL11097,FALSE
ORTHOMCL11098,FALSE
ORTHOMCL11101,FALSE
ORTHOMCL11110,FALSE
ORTHOMCL11114,FALSE
ORTHOMCL11115,FALSE
ORTHOMCL11117,FALSE
ORTHOMCL11118,FALSE
ORTHOMCL11119,FALSE
ORTHOMCL11122,FALSE
ORTHOMCL11127,FALSE
ORTHOMCL11128,FALSE
ORTHOMCL11130,TRUE
ORTHOMCL11131,FALSE
ORTHOMCL11136,FALSE
ORTHOMCL11138,FALSE
ORTHOMCL11141,FALSE
ORTHOMCL11142,FALSE
ORTHOMCL11145,FALSE
ORTHOMCL11146,FALSE
ORTHOMCL11149,FALSE
ORTHOMCL11150,FALSE
ORTHOMCL11151,FALSE
ORTHOMCL11153,FALSE
ORTHOMCL11154,FALSE
ORTHOMCL11155,FALSE
ORTHOMCL11156,FALSE
ORTHOMCL11159,FALSE
ORTHOMCL11160,FALSE
ORTHOMCL11163,FALSE
ORTHOMCL11170,FALSE
ORTHOMCL11174,FALSE
ORTHOMCL11177,FALSE
ORTHOMCL11179,FALSE
ORTHOMCL11196,FALSE
ORTHOMCL11200,FALSE
ORTHOMCL11203,FALSE
ORTHOMCL11206,FALSE
ORTHOMCL11208,FALSE
ORTHOMCL11210,FALSE
ORTHOMCL11213,FALSE
ORTHOMCL11214,FALSE
ORTHOMCL11217,FALSE
ORTHOMCL11221,FALSE
ORTHOMCL11226,FALSE
ORTHOMCL11234,FALSE
ORTHOMCL11236,FALSE
ORTHOMCL11238,FALSE
ORTHOMCL11239,FALSE
ORTHOMCL11241,FALSE
ORTHOMCL11242,FALSE
ORTHOMCL11243,FALSE
ORTHOMCL11245,FALSE
ORTHOMCL11246,FALSE
ORTHOMCL11249,FALSE
ORTHOMCL11252,FALSE
ORTHOMCL11254,FALSE
ORTHOMCL11257,FALSE
ORTHOMCL11258,FALSE
ORTHOMCL11260,FALSE
ORTHOMCL11262,FALSE
ORTHOMCL11263,FALSE
ORTHOMCL11264,FALSE
ORTHOMCL11267,FALSE
ORTHOMCL11268,FALSE
ORTHOMCL11269,FALSE
ORTHOMCL11271,TRUE
ORTHOMCL11273,FALSE
ORTHOMCL11276,FALSE
ORTHOMCL11277,FALSE
ORTHOMCL11279,FALSE
ORTHOMCL11282,FALSE
ORTHOMCL11283,FALSE
ORTHOMCL11286,FALSE
ORTHOMCL11287,TRUE
ORTHOMCL11289,FALSE
ORTHOMCL1129,FALSE
ORTHOMCL11291,FALSE
ORTHOMCL11292,FALSE
ORTHOMCL11294,TRUE
ORTHOMCL11296,FALSE
ORTHOMCL11297,FALSE
ORTHOMCL11298,FALSE
ORTHOMCL11301,FALSE
ORTHOMCL11303,FALSE
ORTHOMCL11305,FALSE
ORTHOMCL11309,FALSE
ORTHOMCL11310,FALSE
ORTHOMCL11311,FALSE
ORTHOMCL11313,FALSE
ORTHOMCL11314,FALSE
ORTHOMCL11316,FALSE
ORTHOMCL11317,FALSE
ORTHOMCL11318,FALSE
ORTHOMCL1132,FALSE
ORTHOMCL11321,FALSE
ORTHOMCL11325,FALSE
ORTHOMCL11331,FALSE
ORTHOMCL11334,FALSE
ORTHOMCL11340,FALSE
ORTHOMCL11342,FALSE
ORTHOMCL11345,FALSE
ORTHOMCL11351,FALSE
ORTHOMCL11353,FALSE
ORTHOMCL11356,FALSE
ORTHOMCL11359,FALSE
ORTHOMCL11360,FALSE
ORTHOMCL11361,FALSE
ORTHOMCL11366,FALSE
ORTHOMCL11367,FALSE
ORTHOMCL11373,FALSE
ORTHOMCL11377,FALSE
ORTHOMCL11378,FALSE
ORTHOMCL11380,FALSE
ORTHOMCL11384,FALSE
ORTHOMCL11387,FALSE
ORTHOMCL11388,FALSE
ORTHOMCL11397,FALSE
ORTHOMCL11399,FALSE
ORTHOMCL11408,FALSE
ORTHOMCL11409,FALSE
ORTHOMCL11410,FALSE
ORTHOMCL11411,FALSE
ORTHOMCL11412,FALSE
ORTHOMCL11416,FALSE
ORTHOMCL11418,FALSE
ORTHOMCL11419,FALSE
ORTHOMCL11421,FALSE
ORTHOMCL11423,FALSE
ORTHOMCL11426,TRUE
ORTHOMCL11429,FALSE
ORTHOMCL11431,FALSE
ORTHOMCL11433,FALSE
ORTHOMCL11437,FALSE
ORTHOMCL11441,NA
ORTHOMCL11444,FALSE
ORTHOMCL1146,FALSE
ORTHOMCL11462,FALSE
ORTHOMCL11464,FALSE
ORTHOMCL11465,FALSE
ORTHOMCL11466,FALSE
ORTHOMCL11468,FALSE
ORTHOMCL11469,FALSE
ORTHOMCL11470,FALSE
ORTHOMCL11471,FALSE
ORTHOMCL11475,FALSE
ORTHOMCL11480,FALSE
ORTHOMCL11481,FALSE
ORTHOMCL11482,FALSE
ORTHOMCL11484,FALSE
ORTHOMCL11485,FALSE
ORTHOMCL11487,FALSE
ORTHOMCL11489,FALSE
ORTHOMCL11491,FALSE
ORTHOMCL11493,FALSE
ORTHOMCL11495,FALSE
ORTHOMCL11498,FALSE
ORTHOMCL11500,FALSE
ORTHOMCL11502,FALSE
ORTHOMCL11503,FALSE
ORTHOMCL11506,FALSE
ORTHOMCL11507,FALSE
ORTHOMCL11508,TRUE
ORTHOMCL11509,FALSE
ORTHOMCL1151,FALSE
ORTHOMCL11511,FALSE
ORTHOMCL11512,FALSE
ORTHOMCL11513,FALSE
ORTHOMCL11514,FALSE
ORTHOMCL11515,FALSE
ORTHOMCL11516,FALSE
ORTHOMCL11519,FALSE
ORTHOMCL11521,FALSE
ORTHOMCL11523,FALSE
ORTHOMCL11528,FALSE
ORTHOMCL11529,FALSE
ORTHOMCL11530,FALSE
ORTHOMCL11532,FALSE
ORTHOMCL11533,FALSE
ORTHOMCL11534,FALSE
ORTHOMCL11535,FALSE
ORTHOMCL11536,FALSE
ORTHOMCL11537,FALSE
ORTHOMCL11538,FALSE
ORTHOMCL1154,FALSE
ORTHOMCL11540,FALSE
ORTHOMCL11541,FALSE
ORTHOMCL11543,FALSE
ORTHOMCL11547,FALSE
ORTHOMCL11551,FALSE
ORTHOMCL11556,FALSE
ORTHOMCL11557,FALSE
ORTHOMCL11559,FALSE
ORTHOMCL11562,FALSE
ORTHOMCL11563,FALSE
ORTHOMCL11565,FALSE
ORTHOMCL11566,FALSE
ORTHOMCL11567,FALSE
ORTHOMCL1157,FALSE
ORTHOMCL11571,FALSE
ORTHOMCL11572,FALSE
ORTHOMCL11573,FALSE
ORTHOMCL11574,FALSE
ORTHOMCL11575,FALSE
ORTHOMCL11576,FALSE
ORTHOMCL11577,FALSE
ORTHOMCL11578,FALSE
ORTHOMCL11580,FALSE
ORTHOMCL11581,FALSE
ORTHOMCL11582,FALSE
ORTHOMCL11583,FALSE
ORTHOMCL11584,FALSE
ORTHOMCL11586,FALSE
ORTHOMCL11588,FALSE
ORTHOMCL11590,FALSE
ORTHOMCL11591,TRUE
ORTHOMCL11592,FALSE
ORTHOMCL11595,FALSE
ORTHOMCL11596,FALSE
ORTHOMCL11597,FALSE
ORTHOMCL11599,FALSE
ORTHOMCL11602,FALSE
ORTHOMCL11603,FALSE
ORTHOMCL11605,TRUE
ORTHOMCL11606,FALSE
ORTHOMCL11612,FALSE
ORTHOMCL11613,FALSE
ORTHOMCL11616,FALSE
ORTHOMCL11617,FALSE
ORTHOMCL11619,FALSE
ORTHOMCL11620,TRUE
ORTHOMCL11621,FALSE
ORTHOMCL11622,FALSE
ORTHOMCL11623,FALSE
ORTHOMCL11624,FALSE
ORTHOMCL11626,FALSE
ORTHOMCL11627,FALSE
ORTHOMCL11628,FALSE
ORTHOMCL11633,FALSE
ORTHOMCL11635,FALSE
ORTHOMCL11637,FALSE
ORTHOMCL11639,FALSE
ORTHOMCL11642,FALSE
ORTHOMCL11644,FALSE
ORTHOMCL11646,FALSE
