ortho	swissProt	name	egn	db	description
ORTHOMCL5465	Q8IYE0	CC146_HUMAN	CC146	HUMAN	coiled-coil domain containing 146 [Source:HGNC Symbol;Acc:HGNC:29296]
ORTHOMCL5517	P41743	KPCI_HUMAN	KPCI	HUMAN	protein kinase C iota [Source:HGNC Symbol;Acc:HGNC:9404]
ORTHOMCL5518	Q9UHK0	NUFP1_HUMAN	NUFP1	HUMAN	NUFIP1, FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8057]
ORTHOMCL5637	F5H4B4	F227A_HUMAN	F227A	HUMAN	family with sequence similarity 227 member A [Source:HGNC Symbol;Acc:HGNC:44197]
ORTHOMCL6400	A8K855	EFCB7_HUMAN	EFCB7	HUMAN	EF-hand calcium binding domain 7 [Source:HGNC Symbol;Acc:HGNC:29379]
ORTHOMCL6826	Q8TB96	TIP_HUMAN	TIP	HUMAN	integrin alpha FG-GAP repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:30697]
ORTHOMCL7119	Q9P2W9	STX18_HUMAN	STX18	HUMAN	syntaxin 18 [Source:HGNC Symbol;Acc:HGNC:15942]
ORTHOMCL7125	O14929	HAT1_HUMAN	HAT1	HUMAN	histone acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4821]
ORTHOMCL7223	Q9BXW7	HDHD5_HUMAN	HDHD5	HUMAN	haloacid dehalogenase like hydrolase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:1843]
ORTHOMCL7228	Q86UP6	CUZD1_HUMAN	CUZD1	HUMAN	CUB and zona pellucida like domains 1 [Source:HGNC Symbol;Acc:HGNC:17937]
ORTHOMCL7333	O60320	F1891_HUMAN	F1891	HUMAN	family with sequence similarity 189 member A1 [Source:HGNC Symbol;Acc:HGNC:29075]
ORTHOMCL8060	Q8IVL0	NAV3_HUMAN	NAV3	HUMAN	neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]
ORTHOMCL8571	Q8N7U6	EFHB_HUMAN	EFHB	HUMAN	EF-hand domain family member B [Source:HGNC Symbol;Acc:HGNC:26330]
ORTHOMCL9079	Q86XZ4	SPAS2_HUMAN	SPAS2	HUMAN	spermatogenesis associated serine rich 2 [Source:HGNC Symbol;Acc:HGNC:18650]
ORTHOMCL9572	Q9NPI1	BRD7_HUMAN	BRD7	HUMAN	bromodomain containing 7 [Source:HGNC Symbol;Acc:HGNC:14310]
ORTHOMCL9701	O43897	TLL1_HUMAN	TLL1	HUMAN	tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:11843]
ORTHOMCL10333	Q6ZMI0	PPR21_HUMAN	PPR21	HUMAN	protein phosphatase 1 regulatory subunit 21 [Source:HGNC Symbol;Acc:HGNC:30595]
ORTHOMCL1132	Q9UKA8	RCAN3_HUMAN	RCAN3	HUMAN	RCAN family member 3 [Source:HGNC Symbol;Acc:HGNC:3042]
ORTHOMCL2465	P04181	OAT_HUMAN	OAT	HUMAN	ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]
ORTHOMCL5033	Q6UWE0	LRSM1_HUMAN	LRSM1	HUMAN	leucine rich repeat and sterile alpha motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25135]
ORTHOMCL5371	Q9BXP5	SRRT_HUMAN	SRRT	HUMAN	serrate, RNA effector molecule [Source:HGNC Symbol;Acc:HGNC:24101]
ORTHOMCL6538	Q8TEU7	RPGF6_HUMAN	RPGF6	HUMAN	Rap guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:20655]
ORTHOMCL9637	Q8N884	CGAS_HUMAN	CGAS	HUMAN	cyclic GMP-AMP synthase [Source:HGNC Symbol;Acc:HGNC:21367]
ORTHOMCL9849	Q8TC84	FANK1_HUMAN	FANK1	HUMAN	fibronectin type III and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:23527]
ORTHOMCL7139	Q2T9W3	CCD63_BOVIN	CCD63	BOVIN	coiled-coil domain containing 63 [Source:VGNC Symbol;Acc:VGNC:26907]
ORTHOMCL7321	P40682	VAS1_BOVIN	VAS1	BOVIN	ATPase H+ transporting accessory protein 1 [Source:VGNC Symbol;Acc:VGNC:26306]
ORTHOMCL3062	Q3SZ19	PSMD9_BOVIN	PSMD9	BOVIN	26S proteasome non-ATPase regulatory subunit 9  [Source:UniProtKB/Swiss-Prot;Acc:Q3SZ19]
ORTHOMCL5076	Q6VYA3	SOSD1_CHICK	SOSD1	CHICK	Sclerostin domain-containing protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q6VYA3]
ORTHOMCL9258	Q2VJ60	RN19A_PIG	RN19A	PIG	E3 ubiquitin-protein ligase RNF19A  [Source:UniProtKB/Swiss-Prot;Acc:Q2VJ60]
ORTHOMCL10205	none	NA	NA	NA	none
ORTHOMCL10756	A7SBF0	INT9_NEMVE	INT9	NEMVE	none
ORTHOMCL2558	P28344	MASY_EMENI	MASY	EMENI	none
ORTHOMCL3606	A7SE05	UBE2S_NEMVE	UBE2S	NEMVE	none
ORTHOMCL5808	O31431	YBDG_BACSU	YBDG	BACSU	none
ORTHOMCL5834	Q63481	RAB7L_RAT	RAB7L	RAT	none
ORTHOMCL6246	P57769	SNX16_RAT	SNX16	RAT	none
ORTHOMCL6839	Q3MQ24	ATG5_BOVIN	ATG5	BOVIN	none
ORTHOMCL6969	A3E4D8	CALM_PROMN	CALM	PROMN	none
ORTHOMCL7095	A3LNR4	EFG1P_PICST	EFG1P	PICST	none
ORTHOMCL7173	none	NA	NA	NA	none
ORTHOMCL7437	P27951	BAG_STRAG	BAG	STRAG	none
ORTHOMCL8669	Q6PCJ9	PPT2A_XENLA	PPT2A	XENLA	none
ORTHOMCL8704	none	NA	NA	NA	none
ORTHOMCL9632	Q7ZXY0	INO1A_XENLA	INO1A	XENLA	none
ORTHOMCL2489	none	NA	NA	NA	none
ORTHOMCL2803	none	NA	NA	NA	none
ORTHOMCL7114	none	NA	NA	NA	none
