ortho	swissProt	name	egn	db	description
37	ORTHOMCL9586	Q13905	RPGF1_HUMAN	RPGF1	HUMAN	Rap guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4568]
38	ORTHOMCL13102	O60494	CUBN_HUMAN	CUBN	HUMAN	cubilin [Source:HGNC Symbol;Acc:HGNC:2548]
39	ORTHOMCL15652	P14543	NID1_HUMAN	NID1	HUMAN	nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]
40	ORTHOMCL16201	A1KZ92	PXDNL_HUMAN	PXDNL	HUMAN	peroxidasin like [Source:HGNC Symbol;Acc:HGNC:26359]
41	ORTHOMCL16906	P11362	FGFR1_HUMAN	FGFR1	HUMAN	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]
42	ORTHOMCL1886	Q99715	COCA1_HUMAN	COCA1	HUMAN	collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]
43	ORTHOMCL19162	Q9BXL7	CAR11_HUMAN	CAR11	HUMAN	caspase recruitment domain family member 11 [Source:HGNC Symbol;Acc:HGNC:16393]
44	ORTHOMCL2019	P13591	NCAM1_HUMAN	NCAM1	HUMAN	neural cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:7656]
45	ORTHOMCL2454	Q10586	DBP_HUMAN	DBP	HUMAN	D-box binding PAR bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:2697]
46	ORTHOMCL5887	Q6P1A2	MBOA5_HUMAN	MBOA5	HUMAN	lysophosphatidylcholine acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30244]
47	ORTHOMCL673	Q9BRA2	TXD17_HUMAN	TXD17	HUMAN	thioredoxin domain containing 17 [Source:HGNC Symbol;Acc:HGNC:28218]
48	ORTHOMCL7408	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
49	ORTHOMCL14219	Q3MHG0	COG4_BOVIN	COG4	BOVIN	component of oligomeric golgi complex 4 [Source:VGNC Symbol;Acc:VGNC:27549]
50	ORTHOMCL14755	Q28204	KCMA1_BOVIN	KCMA1	BOVIN	potassium calcium-activated channel subfamily M alpha 1 [Source:VGNC Symbol;Acc:VGNC:30479]
51	ORTHOMCL17335	Q2HJF7	KCC2D_BOVIN	KCC2D	BOVIN	Calcium/calmodulin-dependent protein kinase type II subunit delta  [Source:UniProtKB/Swiss-Prot;Acc:Q2HJF7]
52	ORTHOMCL19316	Q0VC81	AA3R_BOVIN	AA3R	BOVIN	Adenosine receptor A3  [Source:UniProtKB/Swiss-Prot;Acc:Q0VC81]
53	ORTHOMCL10415	E7F1H9	YTHD2_DANRE	YTHD2	DANRE	YTH N(6)-methyladenosine RNA binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-948]
54	ORTHOMCL17762	A4IFW2	PTPRF_DANRE	PTPRF	DANRE	protein tyrosine phosphatase, receptor type, f, b [Source:ZFIN;Acc:ZDB-GENE-060503-530]
55	ORTHOMCL6750	P18519	TNR16_CHICK	TNR16	CHICK	Tumor necrosis factor receptor superfamily member 16  [Source:UniProtKB/Swiss-Prot;Acc:P18519]
56	ORTHOMCL13471	O46043	PARG_DROME	PARG	DROME	Poly(ADP-ribose) glycohydrolase [Source:FlyBase;Acc:FBgn0023216]
57	ORTHOMCL15024	P25931	RYAR_DROME	RYAR	DROME	RYamide receptor [Source:FlyBase;Acc:FBgn0004842]
58	ORTHOMCL2827	O61443	MK38B_DROME	MK38B	DROME	p38b MAP kinase [Source:FlyBase;Acc:FBgn0024846]
59	ORTHOMCL6698	P08120	CO4A1_DROME	CO4A1	DROME	Collagen type IV alpha 1 [Source:FlyBase;Acc:FBgn0000299]
60	ORTHOMCL10728	Q3TAA7	S11IP_MOUSE	S11IP	MOUSE	none
61	ORTHOMCL13295	none	NA	NA	NA	none
62	ORTHOMCL13332	P00606	PA2A_BUNMU	PA2A	BUNMU	none
63	ORTHOMCL13435	P24668	MPRD_MOUSE	MPRD	MOUSE	none
64	ORTHOMCL13772	Q8Q0U0	Y045_METMA	Y045	METMA	none
65	ORTHOMCL16368	P0C5Y8	ALS2_RAT	ALS2	RAT	none
66	ORTHOMCL17095	none	NA	NA	NA	none
67	ORTHOMCL17450	Q196X6	VF232_IIV3	VF232	IIV3	none
68	ORTHOMCL17560	none	NA	NA	NA	none
69	ORTHOMCL18752	Q28D84	EZH2_XENTR	EZH2	XENTR	none
70	ORTHOMCL20475	E7F568	COBL_DANRE	COBL	DANRE	none
71	ORTHOMCL22638	G3M4F8	OCTB2_CHISP	OCTB2	CHISP	none
72	ORTHOMCL22762	Q9WVF7	DPOE1_MOUSE	DPOE1	MOUSE	none
73	ORTHOMCL3765	P39921	TPM1_HYDVU	TPM1	HYDVU	none
74	ORTHOMCL4631	P36425	SP17_RABIT	SP17	RABIT	none
75	ORTHOMCL5131	none	NA	NA	NA	none
76	ORTHOMCL6110	A7T395	SPAST_NEMVE	SPAST	NEMVE	none
77	ORTHOMCL7227	Q5FVF4	TM7S3_RAT	TM7S3	RAT	none
78	ORTHOMCL9223	B8UU78	ELP_ACRMI	ELP	ACRMI	none
79	ORTHOMCL9238	O02776	PARG_BOVIN	PARG	BOVIN	none
80	ORTHOMCL10542	P16086	SPTN1_RAT	SPTN1	RAT	none
81	ORTHOMCL5280	O97192	TPM_HELAS	TPM	HELAS	none
82	ORTHOMCL6282	P40893	REE1_YEAST	REE1	YEAST	none
