seq	name.x	term	lev	value	swissProt	name.y	egn	db	description
ORTHOMCL8234	anchoring junction	GO:0005912;GO:0070161	2	1	P00519	ABL1_HUMAN	ABL1	HUMAN	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]
ORTHOMCL8545	anchoring junction	GO:0005912;GO:0070161	2	1	Q15366	PCBP2_HUMAN	PCBP2	HUMAN	poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648]
ORTHOMCL8658	anchoring junction	GO:0005912;GO:0070161	2	1	Q14315	FLNC_HUMAN	FLNC	HUMAN	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]
ORTHOMCL9492	anchoring junction	GO:0005912;GO:0070161	2	1	O60462	NRP2_HUMAN	NRP2	HUMAN	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
ORTHOMCL9617	anchoring junction	GO:0005912;GO:0070161	2	1	Q96N67	DOCK7_HUMAN	DOCK7	HUMAN	dedicator of cytokinesis 7 [Source:HGNC Symbol;Acc:HGNC:19190]
ORTHOMCL9688	anchoring junction	GO:0005912;GO:0070161	2	1	Q14118	DAG1_HUMAN	DAG1	HUMAN	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]
ORTHOMCL10346	cell junction	GO:0030054	1	1	Q9UHB6	LIMA1_HUMAN	LIMA1	HUMAN	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
ORTHOMCL10853	cell junction	GO:0030054	1	1	Q13308	PTK7_HUMAN	PTK7	HUMAN	protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618]
ORTHOMCL11287	cell junction	GO:0030054	1	1	Q9H2W6	RM46_HUMAN	RM46	HUMAN	mitochondrial ribosomal protein L46 [Source:HGNC Symbol;Acc:HGNC:1192]
ORTHOMCL11790	cell junction	GO:0030054	1	1	P10586	PTPRF_HUMAN	PTPRF	HUMAN	protein tyrosine phosphatase, receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]
ORTHOMCL11911	cell junction	GO:0030054	1	1	Q8IY33	MILK2_HUMAN	MILK2	HUMAN	MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]
ORTHOMCL11961	cell junction	GO:0030054	1	1	Q8TD84	DSCL1_HUMAN	DSCL1	HUMAN	DS cell adhesion molecule like 1 [Source:HGNC Symbol;Acc:HGNC:14656]
ORTHOMCL12258	cell junction	GO:0030054	1	1	Q9UPQ7	PZRN3_HUMAN	PZRN3	HUMAN	PDZ domain containing ring finger 3 [Source:HGNC Symbol;Acc:HGNC:17704]
ORTHOMCL12269	cell junction	GO:0030054	1	1	Q9P232	CNTN3_HUMAN	CNTN3	HUMAN	contactin 3 [Source:HGNC Symbol;Acc:HGNC:2173]
ORTHOMCL12283	cell junction	GO:0030054	1	1	P29274	AA2AR_HUMAN	AA2AR	HUMAN	adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263]
ORTHOMCL12483	cell junction	GO:0030054	1	1	P18433	PTPRA_HUMAN	PTPRA	HUMAN	protein tyrosine phosphatase, receptor type A [Source:HGNC Symbol;Acc:HGNC:9664]
ORTHOMCL12636	cell junction	GO:0030054	1	1	Q9Y490	TLN1_HUMAN	TLN1	HUMAN	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]
ORTHOMCL12979	cell junction	GO:0030054	1	1	Q8TDM6	DLG5_HUMAN	DLG5	HUMAN	discs large MAGUK scaffold protein 5 [Source:HGNC Symbol;Acc:HGNC:2904]
ORTHOMCL13564	cell junction	GO:0030054	1	1	Q12923	PTN13_HUMAN	PTN13	HUMAN	protein tyrosine phosphatase, non-receptor type 13 [Source:HGNC Symbol;Acc:HGNC:9646]
ORTHOMCL13690	cell junction	GO:0030054	1	1	Q6P3S1	DEN1B_HUMAN	DEN1B	HUMAN	DENN domain containing 1B [Source:HGNC Symbol;Acc:HGNC:28404]
ORTHOMCL13759	cell junction	GO:0030054	1	1	D3ZB51	TUTLB_RAT	TUTLB	RAT	none
ORTHOMCL13784	cell junction	GO:0030054	1	1	Q8CG46	SMC5_MOUSE	SMC5	MOUSE	none
ORTHOMCL14405	cell junction	GO:0030054	1	1	Q96A44	SPSB4_HUMAN	SPSB4	HUMAN	splA/ryanodine receptor domain and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:30630]
ORTHOMCL14888	cell junction	GO:0030054	1	1	Q8N556	AFAP1_HUMAN	AFAP1	HUMAN	actin filament associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24017]
ORTHOMCL14894	cell junction	GO:0030054	1	1	Q6V0I7	FAT4_HUMAN	FAT4	HUMAN	FAT atypical cadherin 4 [Source:HGNC Symbol;Acc:HGNC:23109]
ORTHOMCL15391	cell junction	GO:0030054	1	1	O60242	AGRB3_HUMAN	AGRB3	HUMAN	adhesion G protein-coupled receptor B3 [Source:HGNC Symbol;Acc:HGNC:945]
ORTHOMCL15545	cell junction	GO:0030054	1	1	P48766	NAC1_CAVPO	NAC1	CAVPO	none
ORTHOMCL16076	cell junction	GO:0030054	1	1	P78357	CNTP1_HUMAN	CNTP1	HUMAN	contactin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:8011]
ORTHOMCL16201	cell junction	GO:0030054	1	1	A1KZ92	PXDNL_HUMAN	PXDNL	HUMAN	peroxidasin like [Source:HGNC Symbol;Acc:HGNC:26359]
ORTHOMCL17211	cell junction	GO:0030054	1	1	P82279	CRUM1_HUMAN	CRUM1	HUMAN	crumbs 1, cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:2343]
ORTHOMCL17335	cell junction	GO:0030054	1	1	Q2HJF7	KCC2D_BOVIN	KCC2D	BOVIN	Calcium/calmodulin-dependent protein kinase type II subunit delta  [Source:UniProtKB/Swiss-Prot;Acc:Q2HJF7]
ORTHOMCL1772	cell junction	GO:0030054	1	1	Q92597	NDRG1_HUMAN	NDRG1	HUMAN	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]
ORTHOMCL18576	cell junction	GO:0030054	1	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL1886	cell junction	GO:0030054	1	1	Q99715	COCA1_HUMAN	COCA1	HUMAN	collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]
ORTHOMCL20096	cell junction	GO:0030054	1	1	P16621	LAR_DROME	LAR	DROME	Leukocyte-antigen-related-like [Source:FlyBase;Acc:FBgn0000464]
ORTHOMCL21753	cell junction	GO:0030054	1	1	Q8NDA2	HMCN2_HUMAN	HMCN2	HUMAN	hemicentin 2 [Source:HGNC Symbol;Acc:HGNC:21293]
ORTHOMCL2684	cell junction	GO:0030054	1	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL2788	cell junction	GO:0030054	1	1	Q99961	SH3G1_HUMAN	SH3G1	HUMAN	SH3 domain containing GRB2 like 1, endophilin A2 [Source:HGNC Symbol;Acc:HGNC:10830]
ORTHOMCL2985	cell junction	GO:0030054	1	1	Q9BUH8	BEGIN_HUMAN	BEGIN	HUMAN	brain enriched guanylate kinase associated [Source:HGNC Symbol;Acc:HGNC:24163]
ORTHOMCL3238	cell junction	GO:0030054	1	1	O94985	CSTN1_HUMAN	CSTN1	HUMAN	calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447]
ORTHOMCL3435	cell junction	GO:0030054	1	1	O43896	KIF1C_HUMAN	KIF1C	HUMAN	kinesin family member 1C [Source:HGNC Symbol;Acc:HGNC:6317]
ORTHOMCL3753	cell junction	GO:0030054	1	1	O14901	KLF11_HUMAN	KLF11	HUMAN	Kruppel like factor 11 [Source:HGNC Symbol;Acc:HGNC:11811]
ORTHOMCL5490	cell junction	GO:0030054	1	1	Q12955	ANK3_HUMAN	ANK3	HUMAN	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]
ORTHOMCL5495	cell junction	GO:0030054	1	1	Q8N441	FGRL1_HUMAN	FGRL1	HUMAN	fibroblast growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:3693]
ORTHOMCL5598	cell junction	GO:0030054	1	1	P51151	RAB9A_HUMAN	RAB9A	HUMAN	RAB9A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9792]
ORTHOMCL5710	cell junction	GO:0030054	1	1	P08133	ANXA6_HUMAN	ANXA6	HUMAN	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]
ORTHOMCL5774	cell junction	GO:0030054	1	1	P22059	OSBP1_HUMAN	OSBP1	HUMAN	oxysterol binding protein [Source:HGNC Symbol;Acc:HGNC:8503]
ORTHOMCL5783	cell junction	GO:0030054	1	1	Q3B7N2	ACTN1_BOVIN	ACTN1	BOVIN	actinin alpha 1 [Source:VGNC Symbol;Acc:VGNC:25581]
ORTHOMCL6140	cell junction	GO:0030054	1	1	P46531	NOTC1_HUMAN	NOTC1	HUMAN	notch 1 [Source:HGNC Symbol;Acc:HGNC:7881]
ORTHOMCL6604	cell junction	GO:0030054	1	1	Q8WUM4	PDC6I_HUMAN	PDC6I	HUMAN	programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:HGNC:8766]
ORTHOMCL7251	cell junction	GO:0030054	1	1	Q13233	M3K1_HUMAN	M3K1	HUMAN	mitogen-activated protein kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6848]
ORTHOMCL7262	cell junction	GO:0030054	1	1	Q7T3A4	RAB13_DANRE	RAB13	DANRE	RAB13, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-030826-30]
ORTHOMCL7446	cell junction	GO:0030054	1	1	O15034	RIMB2_HUMAN	RIMB2	HUMAN	RIMS binding protein 2 [Source:HGNC Symbol;Acc:HGNC:30339]
ORTHOMCL8234	cell junction	GO:0030054	1	1	P00519	ABL1_HUMAN	ABL1	HUMAN	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]
ORTHOMCL8273	cell junction	GO:0030054	1	1	Q5PRF9	SMAG2_HUMAN	SMAG2	HUMAN	sterile alpha motif domain containing 4B [Source:HGNC Symbol;Acc:HGNC:25492]
ORTHOMCL8494	cell junction	GO:0030054	1	1	Q01484	ANK2_HUMAN	ANK2	HUMAN	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]
ORTHOMCL8545	cell junction	GO:0030054	1	1	Q15366	PCBP2_HUMAN	PCBP2	HUMAN	poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648]
ORTHOMCL8658	cell junction	GO:0030054	1	1	Q14315	FLNC_HUMAN	FLNC	HUMAN	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]
ORTHOMCL877	cell junction	GO:0030054	1	1	P55344	LMIP_HUMAN	LMIP	HUMAN	lens intrinsic membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6610]
ORTHOMCL9492	cell junction	GO:0030054	1	1	O60462	NRP2_HUMAN	NRP2	HUMAN	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
ORTHOMCL9617	cell junction	GO:0030054	1	1	Q96N67	DOCK7_HUMAN	DOCK7	HUMAN	dedicator of cytokinesis 7 [Source:HGNC Symbol;Acc:HGNC:19190]
ORTHOMCL9634	cell junction	GO:0030054	1	1	Q13507	TRPC3_HUMAN	TRPC3	HUMAN	transient receptor potential cation channel subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:12335]
ORTHOMCL9688	cell junction	GO:0030054	1	1	Q14118	DAG1_HUMAN	DAG1	HUMAN	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]
ORTHOMCL9787	cell junction	GO:0030054	1	1	F1LYQ8	FARP1_RAT	FARP1	RAT	none
ORTHOMCL10273	cell projection part	GO:0044463	2	1	Q14678	KANK1_HUMAN	KANK1	HUMAN	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309]
ORTHOMCL10346	cell projection part	GO:0044463	2	1	Q9UHB6	LIMA1_HUMAN	LIMA1	HUMAN	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
ORTHOMCL10582	cell projection part	GO:0044463	2	1	Q0VBV7	CE126_MOUSE	CE126	MOUSE	none
ORTHOMCL10735	cell projection part	GO:0044463	2	1	Q5T2S8	ARMC4_HUMAN	ARMC4	HUMAN	armadillo repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:25583]
ORTHOMCL10906	cell projection part	GO:0044463	2	1	P51957	NEK4_HUMAN	NEK4	HUMAN	NIMA related kinase 4 [Source:HGNC Symbol;Acc:HGNC:11399]
ORTHOMCL11621	cell projection part	GO:0044463	2	1	Q5T1M5	FKB15_HUMAN	FKB15	HUMAN	FK506 binding protein 15 [Source:HGNC Symbol;Acc:HGNC:23397]
ORTHOMCL11624	cell projection part	GO:0044463	2	1	Q8N3C7	CLIP4_HUMAN	CLIP4	HUMAN	CAP-Gly domain containing linker protein family member 4 [Source:HGNC Symbol;Acc:HGNC:26108]
ORTHOMCL11790	cell projection part	GO:0044463	2	1	P10586	PTPRF_HUMAN	PTPRF	HUMAN	protein tyrosine phosphatase, receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]
ORTHOMCL11961	cell projection part	GO:0044463	2	1	Q8TD84	DSCL1_HUMAN	DSCL1	HUMAN	DS cell adhesion molecule like 1 [Source:HGNC Symbol;Acc:HGNC:14656]
ORTHOMCL12283	cell projection part	GO:0044463	2	1	P29274	AA2AR_HUMAN	AA2AR	HUMAN	adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263]
ORTHOMCL12636	cell projection part	GO:0044463	2	1	Q9Y490	TLN1_HUMAN	TLN1	HUMAN	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]
ORTHOMCL12979	cell projection part	GO:0044463	2	1	Q8TDM6	DLG5_HUMAN	DLG5	HUMAN	discs large MAGUK scaffold protein 5 [Source:HGNC Symbol;Acc:HGNC:2904]
ORTHOMCL13749	cell projection part	GO:0044463	2	1	Q3UTQ8	CDKL5_MOUSE	CDKL5	MOUSE	none
ORTHOMCL14614	cell projection part	GO:0044463	2	1	O57460	TLL1_DANRE	TLL1	DANRE	tolloid-like 1 [Source:ZFIN;Acc:ZDB-GENE-041020-1]
ORTHOMCL1501	cell projection part	GO:0044463	2	1	P18848	ATF4_HUMAN	ATF4	HUMAN	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]
ORTHOMCL15109	cell projection part	GO:0044463	2	1	O75445	USH2A_HUMAN	USH2A	HUMAN	usherin [Source:HGNC Symbol;Acc:HGNC:12601]
ORTHOMCL15391	cell projection part	GO:0044463	2	1	O60242	AGRB3_HUMAN	AGRB3	HUMAN	adhesion G protein-coupled receptor B3 [Source:HGNC Symbol;Acc:HGNC:945]
ORTHOMCL15545	cell projection part	GO:0044463	2	1	P48766	NAC1_CAVPO	NAC1	CAVPO	none
ORTHOMCL1606	cell projection part	GO:0044463	2	1	Q9UBR2	CATZ_HUMAN	CATZ	HUMAN	cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]
ORTHOMCL16076	cell projection part	GO:0044463	2	1	P78357	CNTP1_HUMAN	CNTP1	HUMAN	contactin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:8011]
ORTHOMCL16201	cell projection part	GO:0044463	2	1	A1KZ92	PXDNL_HUMAN	PXDNL	HUMAN	peroxidasin like [Source:HGNC Symbol;Acc:HGNC:26359]
ORTHOMCL16368	cell projection part	GO:0044463	2	1	P0C5Y8	ALS2_RAT	ALS2	RAT	none
ORTHOMCL17335	cell projection part	GO:0044463	2	1	Q2HJF7	KCC2D_BOVIN	KCC2D	BOVIN	Calcium/calmodulin-dependent protein kinase type II subunit delta  [Source:UniProtKB/Swiss-Prot;Acc:Q2HJF7]
ORTHOMCL17727	cell projection part	GO:0044463	2	1	Q8WXG9	GPR98_HUMAN	GPR98	HUMAN	adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416]
ORTHOMCL17846	cell projection part	GO:0044463	2	1	Q3U5C8	ARHGG_MOUSE	ARHGG	MOUSE	none
ORTHOMCL18526	cell projection part	GO:0044463	2	1	Q9P0W8	SPAT7_HUMAN	SPAT7	HUMAN	spermatogenesis associated 7 [Source:HGNC Symbol;Acc:HGNC:20423]
ORTHOMCL1856	cell projection part	GO:0044463	2	1	A6NIH7	U119B_HUMAN	U119B	HUMAN	unc-119 lipid binding chaperone B [Source:HGNC Symbol;Acc:HGNC:16488]
ORTHOMCL18707	cell projection part	GO:0044463	2	1	Q05940	VMAT2_HUMAN	VMAT2	HUMAN	solute carrier family 18 member A2 [Source:HGNC Symbol;Acc:HGNC:10935]
ORTHOMCL18815	cell projection part	GO:0044463	2	1	O75445	USH2A_HUMAN	USH2A	HUMAN	usherin [Source:HGNC Symbol;Acc:HGNC:12601]
ORTHOMCL19328	cell projection part	GO:0044463	2	1	Q9UGM3	DMBT1_HUMAN	DMBT1	HUMAN	deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:HGNC:2926]
ORTHOMCL2067	cell projection part	GO:0044463	2	1	P19419	ELK1_HUMAN	ELK1	HUMAN	ELK1, ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:3321]
ORTHOMCL2310	cell projection part	GO:0044463	2	1	O43822	CU002_HUMAN	CU002	HUMAN	chromosome 21 open reading frame 2 [Source:HGNC Symbol;Acc:HGNC:1260]
ORTHOMCL2788	cell projection part	GO:0044463	2	1	Q99961	SH3G1_HUMAN	SH3G1	HUMAN	SH3 domain containing GRB2 like 1, endophilin A2 [Source:HGNC Symbol;Acc:HGNC:10830]
ORTHOMCL3343	cell projection part	GO:0044463	2	1	A7RR34	FLTOP_NEMVE	FLTOP	NEMVE	none
ORTHOMCL3435	cell projection part	GO:0044463	2	1	O43896	KIF1C_HUMAN	KIF1C	HUMAN	kinesin family member 1C [Source:HGNC Symbol;Acc:HGNC:6317]
ORTHOMCL5490	cell projection part	GO:0044463	2	1	Q12955	ANK3_HUMAN	ANK3	HUMAN	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]
ORTHOMCL5732	cell projection part	GO:0044463	2	1	O43490	PROM1_HUMAN	PROM1	HUMAN	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]
ORTHOMCL5859	cell projection part	GO:0044463	2	1	Q5ZLR1	WLS_CHICK	WLS	CHICK	none
ORTHOMCL6448	cell projection part	GO:0044463	2	1	Q9UDT6	CLIP2_HUMAN	CLIP2	HUMAN	CAP-Gly domain containing linker protein 2 [Source:HGNC Symbol;Acc:HGNC:2586]
ORTHOMCL6750	cell projection part	GO:0044463	2	1	P18519	TNR16_CHICK	TNR16	CHICK	Tumor necrosis factor receptor superfamily member 16  [Source:UniProtKB/Swiss-Prot;Acc:P18519]
ORTHOMCL6861	cell projection part	GO:0044463	2	1	P25685	DNJB1_HUMAN	DNJB1	HUMAN	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]
ORTHOMCL7139	cell projection part	GO:0044463	2	1	Q2T9W3	CCD63_BOVIN	CCD63	BOVIN	coiled-coil domain containing 63 [Source:VGNC Symbol;Acc:VGNC:26907]
ORTHOMCL7209	cell projection part	GO:0044463	2	1	Q8BTI9	PK3CB_MOUSE	PK3CB	MOUSE	none
ORTHOMCL7549	cell projection part	GO:0044463	2	1	P29371	NK3R_HUMAN	NK3R	HUMAN	tachykinin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11528]
ORTHOMCL8060	cell projection part	GO:0044463	2	1	Q8IVL0	NAV3_HUMAN	NAV3	HUMAN	neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]
ORTHOMCL8234	cell projection part	GO:0044463	2	1	P00519	ABL1_HUMAN	ABL1	HUMAN	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]
ORTHOMCL8545	cell projection part	GO:0044463	2	1	Q15366	PCBP2_HUMAN	PCBP2	HUMAN	poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648]
ORTHOMCL8658	cell projection part	GO:0044463	2	1	Q14315	FLNC_HUMAN	FLNC	HUMAN	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]
ORTHOMCL8723	cell projection part	GO:0044463	2	1	Q6VAB6	KSR2_HUMAN	KSR2	HUMAN	kinase suppressor of ras 2 [Source:HGNC Symbol;Acc:HGNC:18610]
ORTHOMCL9492	cell projection part	GO:0044463	2	1	O60462	NRP2_HUMAN	NRP2	HUMAN	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
ORTHOMCL9617	cell projection part	GO:0044463	2	1	Q96N67	DOCK7_HUMAN	DOCK7	HUMAN	dedicator of cytokinesis 7 [Source:HGNC Symbol;Acc:HGNC:19190]
ORTHOMCL9688	cell projection part	GO:0044463	2	1	Q14118	DAG1_HUMAN	DAG1	HUMAN	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]
ORTHOMCL9787	cell projection part	GO:0044463	2	1	F1LYQ8	FARP1_RAT	FARP1	RAT	none
ORTHOMCL10853	cell-cell junction	GO:0005911	2	1	Q13308	PTK7_HUMAN	PTK7	HUMAN	protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618]
ORTHOMCL11911	cell-cell junction	GO:0005911	2	1	Q8IY33	MILK2_HUMAN	MILK2	HUMAN	MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]
ORTHOMCL12283	cell-cell junction	GO:0005911	2	1	P29274	AA2AR_HUMAN	AA2AR	HUMAN	adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263]
ORTHOMCL12979	cell-cell junction	GO:0005911	2	1	Q8TDM6	DLG5_HUMAN	DLG5	HUMAN	discs large MAGUK scaffold protein 5 [Source:HGNC Symbol;Acc:HGNC:2904]
ORTHOMCL13564	cell-cell junction	GO:0005911	2	1	Q12923	PTN13_HUMAN	PTN13	HUMAN	protein tyrosine phosphatase, non-receptor type 13 [Source:HGNC Symbol;Acc:HGNC:9646]
ORTHOMCL14894	cell-cell junction	GO:0005911	2	1	Q6V0I7	FAT4_HUMAN	FAT4	HUMAN	FAT atypical cadherin 4 [Source:HGNC Symbol;Acc:HGNC:23109]
ORTHOMCL15391	cell-cell junction	GO:0005911	2	1	O60242	AGRB3_HUMAN	AGRB3	HUMAN	adhesion G protein-coupled receptor B3 [Source:HGNC Symbol;Acc:HGNC:945]
ORTHOMCL15545	cell-cell junction	GO:0005911	2	1	P48766	NAC1_CAVPO	NAC1	CAVPO	none
ORTHOMCL16076	cell-cell junction	GO:0005911	2	1	P78357	CNTP1_HUMAN	CNTP1	HUMAN	contactin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:8011]
ORTHOMCL17211	cell-cell junction	GO:0005911	2	1	P82279	CRUM1_HUMAN	CRUM1	HUMAN	crumbs 1, cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:2343]
ORTHOMCL1772	cell-cell junction	GO:0005911	2	1	Q92597	NDRG1_HUMAN	NDRG1	HUMAN	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]
ORTHOMCL2985	cell-cell junction	GO:0005911	2	1	Q9BUH8	BEGIN_HUMAN	BEGIN	HUMAN	brain enriched guanylate kinase associated [Source:HGNC Symbol;Acc:HGNC:24163]
ORTHOMCL3435	cell-cell junction	GO:0005911	2	1	O43896	KIF1C_HUMAN	KIF1C	HUMAN	kinesin family member 1C [Source:HGNC Symbol;Acc:HGNC:6317]
ORTHOMCL5490	cell-cell junction	GO:0005911	2	1	Q12955	ANK3_HUMAN	ANK3	HUMAN	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]
ORTHOMCL5495	cell-cell junction	GO:0005911	2	1	Q8N441	FGRL1_HUMAN	FGRL1	HUMAN	fibroblast growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:3693]
ORTHOMCL5598	cell-cell junction	GO:0005911	2	1	P51151	RAB9A_HUMAN	RAB9A	HUMAN	RAB9A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9792]
ORTHOMCL5783	cell-cell junction	GO:0005911	2	1	Q3B7N2	ACTN1_BOVIN	ACTN1	BOVIN	actinin alpha 1 [Source:VGNC Symbol;Acc:VGNC:25581]
ORTHOMCL6604	cell-cell junction	GO:0005911	2	1	Q8WUM4	PDC6I_HUMAN	PDC6I	HUMAN	programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:HGNC:8766]
